iyear;imonth;iday;country;region;provstate;city;latitude;longitude;attacktype1;attacktype2;attacktype3;targtype1;natlty1;targtype2;natlty2;targtype3;natlty3;gname;gname2;gname3;weaptype1;weaptype2;weaptype3;weaptype4;nkill;nwound
2009;1;1;182;11;Banaadir;Mogadishu;2,059819;45,326115;3;;;14;182;;;;;Al-Shabaab;;;6;;;;8;10
2009;1;1;95;10;Nineveh;Mosul;36,354145;43,14357;2;;;14;95;;;;;Unknown;;;5;;;;1;0
2009;1;1;95;10;Kirkuk;Kirkuk;35,45211;44,375465;3;;;3;95;;;;;Unknown;;;6;;;;0;0
2009;1;1;95;10;Diyala;Mandali;33,744999;45,545616;3;;;14;95;;;;;Unknown;;;6;;;;0;3
2009;1;1;155;10;West Bank;Bayt Umar;31,626705;35,104969;3;;;19;155;;;;;Unknown;;;6;;;;0;0
2009;1;1;92;6;Assam;Guwahati;26,149794;91,763931;3;;;14;92;;;;;United Liberation Front of Assam (ULFA);;;6;;;;2;17
2009;1;1;92;6;Assam;Guwahati;26,149794;91,763931;3;;;14;92;;;;;United Liberation Front of Assam (ULFA);;;6;;;;2;17
2009;1;1;92;6;Assam;Guwahati;26,149794;91,763931;3;;;14;92;;;;;United Liberation Front of Assam (ULFA);;;6;;;;1;16
2009;1;1;153;6;Federally Administered Tribal Areas;Bajaur district;34,856902;71,429936;3;;;2;153;;;;;Tehrik-i-Taliban Pakistan (TTP);;;6;;;;4;16
2009;1;1;153;6;Federally Administered Tribal Areas;Kurram district;33,695975;70,336069;8;;;14;153;;;;;Tehrik-i-Taliban Pakistan (TTP);;;9;;;;1;0
2009;1;1;153;6;Federally Administered Tribal Areas;North Waziristan district;32,974638;70,14558;2;6;;14;153;14;4;;;Tehrik-i-Taliban Pakistan (TTP);;;5;9;;;3;0
2009;1;1;160;5;Lanao del Norte;Inagongan;8,151341;124,25962;2;;;14;160;;;;;Moro Islamic Liberation Front (MILF);;;5;;;;0;6
2009;1;1;141;6;Central;Kathmandu;27,708754;85,329498;3;;;14;141;;;;;Ranbir Sena;;;6;;;;0;1
2009;1;1;97;10;Southern;Sederot;31,5282;34,596382;3;;;14;97;4;;;;Democratic Front for the Liberation of Palestine (DFLP);;;6;;;;0;0
2009;1;1;97;10;Southern;Ashkelon;31,670149;34,575153;3;;;14;97;4;;;;Democratic Front for the Liberation of Palestine (DFLP);;;6;;;;0;0
2009;1;1;97;10;Southern;Sa'ad;31,470322;34,53545;3;;;14;97;4;;;;Democratic Front for the Liberation of Palestine (DFLP);;;6;;;;0;0
2009;1;1;97;10;Southern;Nahal Oz;31,472609;34,497696;3;;;4;97;;;;;Democratic Front for the Liberation of Palestine (DFLP);;;6;;;;0;0
2009;1;1;4;6;Kabul;Kabul;34,516895;69,147011;2;;;2;4;;;;;Unknown;;;5;;;;0;0
2009;1;2;229;11;Orientale;Negero;3,898484;27,239934;2;;;1;229;;;;;Lord's Resistance Army (LRA);;;5;;;;20;5
2009;1;2;95;10;Baghdad;Baghdad;33,303566;44,371773;3;;;14;95;;;;;Unknown;;;6;;;;0;4
2009;1;2;95;10;Nineveh;Mosul;36,354145;43,14357;3;;;14;95;;;;;Unknown;;;6;;;;0;2
2009;1;2;95;10;Babil;Yusufiyah;33,07835;44,254719;1;;;14;95;;;;;Islamic State of Iraq (ISI);;;6;;;;30;110
2009;1;2;153;6;Balochistan;Sibi;29,548279;67,879189;9;;;19;153;;;;;Baloch Republican Army (BRA);;;13;;;;0;16
2009;1;2;153;6;North-West Frontier Province;Kalam;35,47847;72,588631;1;;;2;153;;;;;Unknown;;;13;;;;1;0
2009;1;2;153;6;North-West Frontier Province;Mingora;34,774479;72,364052;6;;;14;153;;;;;Tehrik-i-Taliban Pakistan (TTP);;;5;;;;1;0
2009;1;2;160;5;Sultan Kudarat;Esperanza;6,720863;124,521804;6;;;14;160;;;;;Moro Islamic Liberation Front (MILF);;;13;;;;0;0
2009;1;2;153;6;North-West Frontier Province;Mingora;34,774479;72,364052;1;;;22;153;;;;;Unknown;;;5;;;;1;0
2009;1;2;228;10;Abyan;Shoqra;13,357599;45,69648;6;;;18;183;;;;;Unknown;;;13;;;;0;0
2009;1;2;97;10;Southern;Ashkelon;31,670149;34,575153;3;;;14;97;;;;;Unknown;;;6;;;;0;2
2009;1;2;186;6;Western;Colombo;6,941837;79,861687;3;;;4;186;14;186;;;Liberation Tigers of Tamil Eelam (LTTE);;;6;;;;3;31
2009;1;3;95;10;Kirkuk;Kirkuk;35,45211;44,375465;2;;;2;95;;;;;Unknown;;;5;;;;0;0
2009;1;3;95;10;Al Anbar;Karma;33,403057;43,911865;7;;;8;95;;;;;Al-Qaida in Iraq;;;8;;;;0;0
2009;1;3;97;10;Southern;Ashdod;31,821444;34,665169;3;;;14;97;;;;;Unknown;;;6;;;;0;2
2009;1;3;95;10;Baghdad;Baghdad;33,303566;44,371773;3;;;14;95;;;;;Unknown;;;6;;;;2;10
2009;1;3;95;10;Nineveh;Sinjar;36,319386;41,861473;1;;;14;95;;;;;Unknown;;;6;;;;2;1
2009;1;3;4;6;Kandahar;Arghandab;31,650027;65,650018;3;;;1;4;;;;;Taliban;;;6;;;;0;0
2009;1;3;153;6;North-West Frontier Province;Matta;34,92969;72,416834;2;;;14;153;;;;;Unknown;;;5;;;;3;0
2009;1;3;186;6;Western;Colombo;6,941837;79,861687;3;;;14;95;;;;;Liberation Tigers of Tamil Eelam (LTTE);;;6;;;;0;3
2009;1;3;160;5;Quezon;Maalukot 3;13,934268;121,426903;2;;;4;160;;;;;New People's Army (NPA);;;5;;;;1;0
2009;1;3;160;5;Sultan Kudarat;Tacurong;6,697343;125,082779;3;;;19;160;;;;;Unknown;;;6;;;;0;8
2009;1;3;97;10;Southern;Eshkolot;31,713972;34,649862;3;;;14;97;;;;;Unknown;;;6;;;;0;0
2009;1;3;97;10;Southern;Ashdod;31,821444;34,665169;3;;;14;97;;;;;Unknown;;;6;;;;0;3
2009;1;3;97;10;Southern;Kissufim;31,374899;34,398018;3;;;2;97;;;;;Al-Aqsa Martyrs Brigade;;;6;;;;0;0
2009;1;3;97;10;Southern;Netivot;31,424962;34,593798;3;;;14;97;;;;;Unknown;;;6;;;;0;0
2009;1;4;95;10;Baghdad;Baghdad;33,303566;44,371773;3;;;14;95;14;94;;;Unknown;;;6;;;;36;65
2009;1;4;95;10;Diyala;Khanaqin;34,347343;45,383274;3;;;14;94;;;;;Unknown;;;6;;;;0;5
2009;1;4;95;10;Diyala;;33,773349;45,14945;3;;;14;95;;;;;Unknown;;;6;;;;1;1
2009;1;4;229;11;Orientale;Napopo;4,196947;28,031783;9;;;15;229;;;;;Lord's Resistance Army (LRA);;;13;;;;0;0
2009;1;4;195;11;Central Equatoria;Laso;3,961251;30,511016;2;;;14;192;;;;;Lord's Resistance Army (LRA);;;5;;;;10;0
2009;1;4;603;8;England;Brondesbury;51,504387;-0,140041;7;;;15;216;;;;;Unknown;;;8;;;;0;0
2009;1;4;43;3;Santiago Metropolitan;Santiago;-33,366238;-70,505302;3;;;2;43;;;;;Unknown;;;6;;;;0;0
2009;1;4;43;3;Santiago Metropolitan;Santiago;-33,366238;-70,505302;3;;;2;43;;;;;Unknown;;;6;;;;0;0
2009;1;4;38;1;British Colombia;Tomslake;55,555446;-120,076197;3;;;21;38;;;;;Unknown;;;6;;;;0;0
2009;1;4;92;6;Orissa;Almonda;18,857078;83,312999;2;;;14;92;;;;;Communist Party of India - Maoist (CPI-Maoist);;;5;;;;1;0
2009;1;4;92;6;Assam;Harangajao;25,118096;92,85636;3;;;19;92;;;;;Black Widows;;;6;;;;0;0
2009;1;4;153;6;Balochistan;Dera Murad Jamali;28,54439;68,218002;2;;;19;153;;;;;Baloch Republican Army (BRA);;;5;;;;0;3
2009;1;4;153;6;North-West Frontier Province;Dera Ismail Khan;31,834328;70,90905;3;;;3;153;;;;;Unknown;;;6;;;;11;21
2009;1;4;153;6;North-West Frontier Province;Mingora;34,774479;72,364052;6;2;;3;153;;;;;Unknown;;;13;9;;;1;0
2009;1;4;153;6;North-West Frontier Province;Dera Ismail Khan;31,834328;70,90905;2;;;1;153;14;153;;;Unknown;;;5;;;;0;2
2009;1;4;229;11;Orientale;Napopo;4,196947;28,031783;9;;;14;229;;;;;Unknown;;;13;;;;0;0
2009;1;4;229;11;Orientale;Masambo;1,64063;26,419389;2;7;6;14;229;;;;;Lord's Resistance Army (LRA);;;8;;;;7;0
2009;1;4;97;10;Southern;Ashdod;31,821444;34,665169;3;;;14;97;;;;;Unknown;;;6;;;;0;10
2009;1;4;97;10;Southern;Eshkolot;31,713972;34,649862;3;;;14;97;;;;;Unknown;;;6;;;;0;2
2009;1;4;205;5;Pattani;;6,700696;101,433915;2;;;14;205;;;;;Unknown;;;5;;;;1;0
2009;1;5;160;5;Sultan Kudarat;President Quirino;6,702104;124,741539;1;;;2;160;;;;;Unknown;;;5;;;;1;0
2009;1;5;95;10;Kirkuk;Kirkuk;35,45211;44,375465;2;;;3;95;;;;;Unknown;;;5;;;;0;1
