iyear;imonth;iday;country;region;provstate;city;attacktype1;targtype1;gname;weaptype1
2014;1;1;45;3;Norte de Santander;Convencion;3;21;National Liberation Army of Colombia (ELN);6
2014;1;1;182;11;Banaadir;Mogadishu;3;1;Al-Shabaab;6
2014;1;1;153;6;Balochistan;Quetta;3;14;Jaish-e-Islam;6
2014;1;1;153;6;Balochistan;Dera Bugti;3;20;Unknown;6
2014;1;1;182;11;Middle Juba;Buale;6;12;Al-Shabaab;13
2014;1;1;95;10;Nineveh;Mosul;3;4;Unknown;6
2014;1;1;95;10;Saladin;Yathrib;2;4;Unknown;5
2014;1;1;95;10;Saladin;Tarmiyah;2;3;Muslim extremists;5
2014;1;1;92;6;Manipur;Singjamei;3;20;Unknown;6
2014;1;1;92;6;Manipur;Imphal;3;20;Unknown;6
2014;1;1;4;6;Helmand;Unknown;9;4;Unknown;13
2014;1;1;60;10;Qalyubia;Shubra el-Kheima;3;3;Unknown;6
2014;1;1;95;10;Al Anbar;Fallujah;2;3;Islamic State of Iraq and the Levant (ISIL);5
2014;1;1;95;10;Al Anbar;Fallujah;2;3;Islamic State of Iraq and the Levant (ISIL);5
2014;1;1;95;10;Al Anbar;Fallujah;2;3;Islamic State of Iraq and the Levant (ISIL);5
2014;1;1;95;10;Al Anbar;Fallujah;2;3;Islamic State of Iraq and the Levant (ISIL);5
2014;1;1;95;10;Al Anbar;Fallujah;2;2;Islamic State of Iraq and the Levant (ISIL);5
2014;1;1;95;10;Al Anbar;Ramadi;2;3;Islamic State of Iraq and the Levant (ISIL);5
2014;1;1;95;10;Al Anbar;Ramadi;2;3;Islamic State of Iraq and the Levant (ISIL);5
2014;1;1;95;10;Al Anbar;Ramadi;2;3;Islamic State of Iraq and the Levant (ISIL);5
2014;1;1;95;10;Al Anbar;Ramadi;2;3;Islamic State of Iraq and the Levant (ISIL);5
2014;1;1;95;10;Al Anbar;Fallujah;2;3;Islamic State of Iraq and the Levant (ISIL);5
2014;1;1;95;10;Al Anbar;Karma;2;3;Islamic State of Iraq and the Levant (ISIL);5
2014;1;1;95;10;Al Anbar;Karma;2;3;Islamic State of Iraq and the Levant (ISIL);5
2014;1;1;4;6;Zabul;Qalat;3;3;Taliban;6
2014;1;1;95;10;Al Anbar;Rutbah;3;3;Unknown;6
2014;1;1;182;11;Banaadir;Mogadishu;3;4;Al-Shabaab;6
2014;1;1;182;11;Banaadir;Mogadishu;3;1;Al-Shabaab;6
2014;1;1;95;10;Nineveh;Mosul;3;1;Unknown;6
2014;1;1;137;11;Sofala;Muxungue;2;14;Mozambique National Resistance Movement (MNR);5
2014;1;1;153;6;Balochistan;Dera Bugti;2;14;Unknown;5
2014;1;1;92;6;Haryana;Dikadla;1;2;Unknown;9
2014;1;1;153;6;Sindh;Karachi;2;3;Unknown;5
2014;1;1;45;3;Norte de Santander;Campo Alegre;3;21;National Liberation Army of Colombia (ELN);6
2014;1;1;45;3;Norte de Santander;Campo Alegre;3;21;National Liberation Army of Colombia (ELN);6
2014;1;1;45;3;Norte de Santander;Campo Alegre;3;21;National Liberation Army of Colombia (ELN);6
2014;1;15;153;6;Sindh;Karachi;6;22;Unknown;13
2014;1;26;45;3;Norte de Santander;Unknown;6;14;National Liberation Army of Colombia (ELN);13
2014;1;1;92;6;Odisha;Supalu;6;15;Maoists;9
2014;1;1;92;6;Chhattisgarh;Matda;6;3;Maoists;13
2014;1;2;104;11;Kwale;Diani;3;1;Unknown;6
2014;1;2;153;6;Balochistan;Wadh;3;14;Lashkar-e-Balochistan;6
2014;1;2;160;5;North Cotabato;Pikit;2;4;Bangsamoro Islamic Freedom Movement (BIFM);5
2014;1;2;182;11;Bay;Baidoa;3;2;Al-Shabaab;6
2014;1;2;205;5;Narathiwat;Romsai;3;15;Separatists;6
2014;1;2;228;10;Adan;Aden;1;2;Al-Qaida in the Arabian Peninsula (AQAP);5
2014;1;2;95;10;Baghdad;Baghdad;3;19;Unknown;6
2014;1;2;95;10;Diyala;Balad Ruz;3;1;Islamic State of Iraq and the Levant (ISIL);6
2014;1;1;95;10;Kirkuk;Kirkuk;3;4;Unknown;6
2014;1;2;95;10;Nineveh;Mosul;3;14;Unknown;6
2014;1;2;95;10;Baghdad;Baghdad;3;14;Unknown;6
2014;1;2;95;10;Nineveh;Mosul;3;3;Unknown;6
2014;1;2;95;10;Saladin;Unknown;3;21;Unknown;6
2014;1;2;229;11;North Kivu;Beni;1;4;Allied Democratic Forces (ADF);6
2014;1;2;95;10;Nineveh;Hammam al-Alil;2;3;Islamic State of Iraq and the Levant (ISIL);5
2014;1;2;95;10;Baghdad;Baghdad;2;4;Islamic State of Iraq and the Levant (ISIL);5
2014;1;2;95;10;Nineveh;Mosul;2;4;Unknown;5
2014;1;2;110;10;Mount Lebanon;Haret Hraik;3;14;Islamic State of Iraq and the Levant (ISIL);6
2014;1;2;95;10;Babil;Latifiyah;3;14;Unknown;6
2014;1;2;153;6;Khyber Pakhtunkhwa;Tank district;3;3;Tehrik-i-Taliban Pakistan (TTP);6
2014;1;2;153;6;Khyber Pakhtunkhwa;Charsadda district;3;8;Unknown;6
2014;1;2;78;8;Attica;Athens;7;2;Unknown;8
2014;1;2;113;10;Zawiya;Sabratah;2;14;Jund al-Islam;5
2014;1;2;4;6;Logar;Baraki Barak district;3;14;Taliban;6
2014;1;2;60;10;Gharbia;Tanta;3;3;Unknown;6
2014;1;2;4;6;Herat;Herat;2;2;Unknown;5
2014;1;2;75;8;Berlin;Berlin;7;7;Unknown;8
2014;1;2;60;10;North Sinai;Sheikh Zuweid;3;1;Ansar Bayt al-Maqdis (Ansar Jerusalem);6
2014;1;2;228;10;Hajjah;Harad;3;1;Unknown;6
2014;1;2;153;6;Federally Administered Tribal Areas;Ghundi;3;8;Unknown;6
2014;1;2;200;10;Unknown;Unknown;6;12;Unknown;13
2014;1;2;37;11;East;Unknown;2;4;Seleka;5
2014;1;3;19;6;Chittagong;Bhadur;2;22;Unknown;5
2014;1;2;229;11;Kinshasa;Kinshasa;2;4;Unknown;5
2014;1;3;153;6;Khyber Pakhtunkhwa;Peshawar;2;4;Baloch Republican Army (BRA);5
2014;1;3;205;5;Yala;Kabang;3;3;Unknown;6
2014;1;3;95;10;Baghdad;Baghdad;3;19;Unknown;6
2014;1;3;95;10;Baghdad;Baghdad;3;1;Unknown;6
2014;1;3;95;10;Babil;Mahmudiyah;3;14;Unknown;6
2014;1;3;95;10;Nineveh;Al-Qaws;3;14;Unknown;6
2014;1;3;95;10;Saladin;Tarmiyah;3;3;Unknown;6
2014;1;3;95;10;Saladin;Tarmiyah;2;3;Unknown;5
2014;1;2;95;10;Diyala;Azim;2;4;Unknown;5
