,iyear,imonth,iday,country,region,provstate,city,latitude,longitude,attacktype1,attacktype2,attacktype3,targtype1,natlty1,targtype2,natlty2,targtype3,natlty3,gname,gname2,gname3,weaptype1,weaptype2,weaptype3,weaptype4,nkill,nwound,population
13,2009,1,1,97,10,Southern,Sederot,"31,5282","34,596382",3,,,14,97.0,4.0,,,,Democratic Front for the Liberation of Palestine (DFLP),,,6,,,,0.0,0,20228.0
14,2009,1,1,97,10,Southern,Ashkelon,"31,670149","34,575153",3,,,14,97.0,4.0,,,,Democratic Front for the Liberation of Palestine (DFLP),,,6,,,,0.0,0,105995.0
15,2009,1,1,97,10,Southern,Sa'ad,"31,470322","34,53545",3,,,14,97.0,4.0,,,,Democratic Front for the Liberation of Palestine (DFLP),,,6,,,,0.0,0,0.0
16,2009,1,1,97,10,Southern,Nahal Oz,"31,472609","34,497696",3,,,4,97.0,,,,,Democratic Front for the Liberation of Palestine (DFLP),,,6,,,,0.0,0,410000.0
21,2009,1,2,95,10,Babil,Yusufiyah,"33,07835","44,254719",1,,,14,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,30.0,110,0.0
31,2009,1,3,95,10,Al Anbar,Karma,"33,403057","43,911865",7,,,8,95.0,,,,,Al-Qaida in Iraq,,,8,,,,0.0,0,0.0
42,2009,1,3,97,10,Southern,Kissufim,"31,374899","34,398018",3,,,2,97.0,,,,,Al-Aqsa Martyrs Brigade,,,6,,,,0.0,0,1845.0
68,2009,1,5,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,1,95.0,,,,,Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq),,,6,,,,0.0,4,7216000.0
117,2009,1,8,97,10,Northern,Nahariyya,"33,004219","35,092571",3,,,14,97.0,,,,,Popular Front for the Liberation of Palestine (PFLP),,,6,,,,0.0,2,51200.0
175,2009,1,12,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,3.0,95.0,,,Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq),,,6,,,,1.0,6,7216000.0
209,2009,1,15,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,13,95.0,,,,,Asa'ib Ahl al-Haqq,,,6,,,,0.0,1,7216000.0
210,2009,1,15,95,10,Nineveh,Mosul,"36,354145","43,14357",2,,,14,95.0,,,,,Islamic State of Iraq (ISI),,,5,,,,1.0,0,2065597.0
217,2009,1,16,6,10,Ain Defla,Khemis Miliana,"36,266667","2,216667",2,,,2,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,9,,,,1.0,0,0.0
286,2009,1,21,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,5.0,10,7216000.0
342,2009,1,26,228,10,Amanat Al Asimah,Sanaa,"15,325443","44,211895",2,,,7,228.0,,,,,Hushaysh Tribal Members,,,5,,,,0.0,0,1937451.0
482,2009,2,8,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Iraq's Jihadist Leagues,,,6,,,,0.0,4,7216000.0
492,2009,2,8,95,10,Nineveh,Mosul,"36,354145","43,14357",3,,,14,95.0,,,,,Ansar al-Islam,,,6,,,,0.0,2,7216000.0
527,2009,2,11,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,2,95.0,,,,,Supreme Command for Jihad and Liberation,,,6,,,,0.0,1,0.0
549,2009,2,12,6,10,Tbessa,Tebessa,"35,407139","8,120864",3,,,13,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,6,6.0,,,7.0,,634332.0
569,2009,2,13,95,10,Babil,Musayib,"32,777344","44,289352",3,,,14,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,41.0,80,42901.0
586,2009,2,15,6,10,Boumerdès Province,Bordj Menail,"36,741667","3,723056",2,,,4,6.0,,,,,Rebels,,,5,,,,3.0,0,7216000.0
634,2009,2,18,95,10,Baghdad,Baghdad,"33,303566","44,371773",2,,,2,95.0,,,,,Islamic State of Iraq (ISI),,,5,,,,1.0,0,0.0
651,2009,2,19,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,2,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,0.0,8,7216000.0
674,2009,2,21,6,10,Tizi Ouzou Province,Ain Zaouia,"36,54828","3,89416",7,,,14,6.0,19.0,6.0,,,Gunmen,,,8,,,,0.0,0,0.0
691,2009,2,22,6,10,Jijel Province,Ziama Mansouria,"36,673564","5,481713",3,,,1,6.0,21.0,6.0,,,Al-Qaida in the Islamic Maghreb (AQIM),,,6,,,,9.0,3,0.0
821,2009,3,8,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,3,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,29.0,58,7216000.0
827,2009,3,8,6,10,Tizi Ouzou Province,Boghni,"36,55","3,95",2,,,3,6.0,,,,,Militants,,,9,,,,1.0,0,54666.0
