iyear,imonth,country,region,provstate,city,attacktype1,targtype1,gname,weaptype1
2009,1,182,11,Banaadir,Mogadishu,3,14,Al-Shabaab,6
2009,1,95,10,Nineveh,Mosul,2,14,Unknown,5
2009,1,95,10,Kirkuk,Kirkuk,3,3,Unknown,6
2009,1,95,10,Diyala,Mandali,3,14,Unknown,6
2009,1,155,10,West Bank,Bayt Umar,3,19,Unknown,6
2009,1,92,6,Assam,Guwahati,3,14,United Liberation Front of Assam (ULFA),6
2009,1,92,6,Assam,Guwahati,3,14,United Liberation Front of Assam (ULFA),6
2009,1,92,6,Assam,Guwahati,3,14,United Liberation Front of Assam (ULFA),6
2009,1,153,6,Federally Administered Tribal Areas,Bajaur district,3,2,Tehrik-i-Taliban Pakistan (TTP),6
2009,1,153,6,Federally Administered Tribal Areas,Kurram district,8,14,Tehrik-i-Taliban Pakistan (TTP),9
2009,1,153,6,Federally Administered Tribal Areas,North Waziristan district,2,14,Tehrik-i-Taliban Pakistan (TTP),5
2009,1,160,5,Lanao del Norte,Inagongan,2,14,Moro Islamic Liberation Front (MILF),5
2009,1,141,6,Central,Kathmandu,3,14,Ranbir Sena,6
2009,1,97,10,Southern,Sederot,3,14,Democratic Front for the Liberation of Palestine (DFLP),6
2009,1,97,10,Southern,Ashkelon,3,14,Democratic Front for the Liberation of Palestine (DFLP),6
2009,1,97,10,Southern,Sa ad,3,14,Democratic Front for the Liberation of Palestine (DFLP),6
2009,1,97,10,Southern,Nahal Oz,3,4,Democratic Front for the Liberation of Palestine (DFLP),6
2009,1,4,6,Kabul,Kabul,2,2,Unknown,5
2009,1,229,11,Orientale,Negero,2,1,Lord s Resistance Army (LRA),5
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,95,10,Nineveh,Mosul,3,14,Unknown,6
2009,1,95,10,Babil,Yusufiyah,1,14,Islamic State of Iraq (ISI),6
2009,1,153,6,Balochistan,Sibi,9,19,Baloch Republican Army (BRA),13
2009,1,153,6,North-West Frontier Province,Kalam,1,2,Unknown,13
2009,1,153,6,North-West Frontier Province,Mingora,6,14,Tehrik-i-Taliban Pakistan (TTP),5
2009,1,160,5,Sultan Kudarat,Esperanza,6,14,Moro Islamic Liberation Front (MILF),13
2009,1,153,6,North-West Frontier Province,Mingora,1,22,Unknown,5
2009,1,228,10,Abyan,Shoqra,6,18,Unknown,13
2009,1,97,10,Southern,Ashkelon,3,14,Unknown,6
2009,1,186,6,Western,Colombo,3,4,Liberation Tigers of Tamil Eelam (LTTE),6
2009,1,95,10,Kirkuk,Kirkuk,2,2,Unknown,5
2009,1,95,10,Al Anbar,Karma,7,8,Al-Qaida in Iraq,8
2009,1,97,10,Southern,Ashdod,3,14,Unknown,6
2009,1,95,10,Baghdad,Baghdad,3,14,Unknown,6
2009,1,95,10,Nineveh,Sinjar,1,14,Unknown,6
2009,1,4,6,Kandahar,Arghandab,3,1,Taliban,6
2009,1,153,6,North-West Frontier Province,Matta,2,14,Unknown,5
